id,cluster_id,irradiance,farm_type,capacity,capacity_factor,power_generation,estimated_cost
5930,2,6.218408108,large_utility,2000.0,0.259,4539437.919,5320000000
5931,2,6.222421169,large_utility,2000.0,0.259,4542367.453,5320000000
5932,2,6.222169876,large_residential,0.015,0.259,34.06638007,39900
5933,2,6.222169876,small_residential,0.005,0.259,11.35546002,13300
5934,2,6.228259563,large_residential,0.015,0.26,34.09972111,39900
5935,2,6.228259563,large_utility,2000.0,0.26,4546629.481,5320000000
5936,2,6.216545105,small_residential,0.005,0.259,11.34519482,13300
5937,13,5.949206829,large_community,5.0,0.248,10857.30246,13300000
5938,13,5.949206829,small_residential,0.005,0.248,10.85730246,13300
5939,13,5.970846653,medium_community,2.0,0.249,4358.718057,5320000
5940,13,5.970846653,small_community,0.15,0.249,326.9038543,399000
5941,13,5.998199463,medium_community,2.0,0.25,4378.685608,5320000
5942,13,5.806003094,small_residential,0.005,0.242,10.59595565,13300
5943,13,5.806003094,medium_community,2.0,0.242,4238.382259,5320000
5944,0,5.417483807,small_community,0.15,0.226,296.6072384,399000
5945,4,5.43064642,small_community,0.15,0.226,297.3278915,399000
5946,4,5.397884369,small_community,0.15,0.225,295.5341692,399000
5947,12,6.385475159,medium_utility,500.0,0.266,1165349.217,1330000000
5948,12,6.837415218,small_utility,5.0,0.285,12478.28277,13300000
5949,12,6.837415218,large_residential,0.015,0.285,37.43484832,39900
5950,12,6.520769119,small_community,0.15,0.272,357.0121093,399000
5951,12,6.702245712,small_residential,0.005,0.279,12.23159842,13300
5952,12,6.702245712,large_residential,0.015,0.279,36.69479527,39900
5953,1,6.338858128,medium_residential,0.01,0.264,23.13683217,26600
5954,1,6.442182064,large_residential,0.015,0.268,35.2709468,39900
5955,1,6.442182064,small_community,0.15,0.268,352.709468,399000
5956,1,6.443246365,small_residential,0.005,0.268,11.75892462,13300
5957,1,6.463309765,large_utility,2000.0,0.269,4718216.128,5320000000
5958,9,6.528923035,small_community,0.15,0.272,357.4585362,399000
5959,9,6.490213394,small_residential,0.005,0.27,11.84463944,13300
5960,9,6.496802807,large_community,5.0,0.271,11856.66512,13300000
5961,9,6.495433331,large_community,5.0,0.271,11854.16583,13300000
5962,9,6.495433331,large_utility,2000.0,0.271,4741666.332,5320000000
5963,9,6.443341732,large_utility,2000.0,0.268,4703639.464,5320000000
5964,9,6.443341732,small_residential,0.005,0.268,11.75909866,13300
5965,9,6.510635853,medium_residential,0.01,0.271,23.76382086,26600
5966,9,6.510635853,medium_utility,500.0,0.271,1188191.043,1330000000
5967,9,6.500279903,medium_residential,0.01,0.271,23.72602165,26600
